µÈ¼¶	²½±ø	Æï±ø
 1		 15		 22
 2		 17		 26
 3		 20		 31
 4		 24		 36
 5		 28		 42
 6		 32		 48
 7		 36		 55
 8		 41		 62
 9		 47		 70
10		 53		 79
11		 59		 88
12		 65		 98
13		 72		109
14		 80		120
15		 88		132
16		 96		144
17		104		157
18		113		170
19		123		184
20		133		199
21		143		214
22		153		230
23		164		247
24		176		264
25		188		282
26		200		300
27		212	  319
28		225		338
29		239		358
30		253		379
31		267		400
32		281		422
33		296		445
34		312		468
35		328		492
36		344		516
37		360		541
38		377		566
39		395		592
40		413		619
